200.0.0.0 200.0.0.0 JP  
200.114.112.0 200.114.119.255 GT  
200.114.120.0 200.115.15.255 AR  
200.115.16.0 200.115.17.255 PY  
200.115.18.0 200.115.18.255 CR  
200.115.19.0 200.115.19.255 PA  
200.115.20.0 200.115.23.255 PE  
200.115.24.0 200.115.31.255 AR  
200.115.32.0 200.115.47.255 EC  
200.115.48.0 200.115.63.255 AR  
200.115.64.0 200.115.79.255 UY  
200.115.80.0 200.115.95.255 AR  
200.115.128.0 200.115.133.79 PA  
200.115.133.80 200.115.133.87 NI  
200.115.133.88 200.115.175.255 PA  
200.115.176.0 200.115.176.255 HN  
200.115.177.0 200.115.177.255 PA  
200.115.178.0 200.115.178.255 CO  
200.115.179.0 200.115.179.255 CW  
200.115.180.0 200.115.181.255 CO  
200.115.182.0 200.115.183.255 HT  
200.115.184.0 200.115.184.255 CL  
200.115.185.0 200.115.187.255 AR  
200.115.188.0 200.115.191.255 HN  
200.115.192.0 200.115.255.255 AR  
200.116.0.0 200.116.255.255 CO  
200.117.0.0 200.117.255.255 AR  
200.118.0.0 200.119.127.255 CO  
200.119.128.0 200.119.191.255 GT  
200.119.192.0 200.119.223.255 BO  
200.119.224.0 200.120.255.255 CL  
200.121.0.0 200.121.255.255 PE  
200.122.0.0 200.122.127.255 AR  
200.122.128.0 200.122.191.255 CR  
200.122.192.0 200.122.255.255 CO  
200.123.0.0 200.123.31.255 PE  
200.123.32.0 200.123.194.255 AR  
200.123.195.0 200.123.195.127 US  
200.123.195.128 200.123.198.127 AR  
200.123.198.128 200.123.198.255 US  
200.123.199.0 200.123.201.255 AR  
200.123.202.0 200.123.203.127 US  
200.123.203.128 200.123.203.255 AR  
200.123.204.0 200.123.204.255 US  
200.123.205.0 200.123.207.255 AR  
200.123.208.0 200.123.215.255 BZ  
200.123.216.0 200.123.223.255 AR  
200.123.240.0 200.123.255.255 AR  
200.124.0.0 200.124.31.255 PA  
200.124.32.0 200.124.63.255 CL  
200.124.96.0 200.124.119.255 AR  
200.124.120.0 200.124.120.255 PY  
200.124.121.0 200.124.121.255 VE  
200.124.122.0 200.124.123.255 AR  
200.124.124.0 200.124.125.255 CO  
200.124.126.0 200.124.126.255 AR  
200.124.127.0 200.124.127.255 PA  
200.124.128.0 200.124.159.255 CW  
200.124.176.0 200.124.187.255 AR  
200.124.188.0 200.124.191.255 PE  
200.124.192.0 200.124.223.255 UY  
200.124.224.0 200.124.255.255 EC  
200.125.0.0 200.125.63.255 UY  
200.125.64.0 200.125.127.255 AR  
200.125.128.0 200.125.159.255 EC  
200.125.160.0 200.125.167.255 TT  
200.125.176.0 200.125.183.255 GT  
200.125.184.0 200.125.191.255 VE  
200.125.192.0 200.126.31.255 EC  
200.126.32.0 200.126.47.255 CL  
200.126.48.0 200.126.48.255 EC  
200.126.49.0 200.126.51.255 CL  
200.126.52.0 200.126.63.255 PE  
200.126.64.0 200.126.127.255 CL  
200.126.128.0 200.127.255.255 AR  
200.128.0.0 200.187.95.255 BR  
200.187.112.0 200.187.255.255 BR  
200.188.0.0 200.188.39.255 MX  
200.188.40.0 200.188.47.255 BR  
200.188.48.0 200.188.95.255 MX  
200.188.96.0 200.188.127.255 BR  
200.188.128.0 200.188.159.255 MX  
200.188.160.0 200.189.43.255 BR  
200.189.44.0 200.189.44.255 HN  
200.189.45.0 200.189.45.15 CA  
200.189.45.16 200.189.47.255 HN  
200.189.48.0 200.192.104.255 BR  
200.192.105.0 200.192.105.255 PE  
200.192.108.0 200.192.235.255 BR  
200.192.236.0 200.192.239.255 CR  
200.192.240.0 200.200.200.199 BR  
200.200.200.201 200.215.239.255 BR  
200.216.0.0 200.224.255.255 BR  
200.225.0.0 200.225.31.255 MX  
200.225.32.0 200.225.99.255 BR  
200.225.100.0 200.225.103.255 AR  
200.225.104.0 200.229.143.255 BR  
200.229.144.0 200.229.147.255 CR  
200.229.148.0 200.229.151.255 AR  
200.229.152.0 200.229.155.255 VE  
200.229.156.0 200.229.215.255 BR  
200.229.216.0 200.229.219.255 VE  
200.229.220.0 200.229.249.255 BR  
200.229.252.0 200.229.255.255 AR  
200.230.0.0 200.233.31.255 BR  
200.233.48.0 200.238.255.255 BR  
200.239.0.0 200.239.63.255 MX  
