5.0.0.1 5.0.255.255 SY  
5.196.120.16 5.196.123.175 FR  
5.196.123.176 5.196.123.191 BE  
5.196.123.192 5.196.123.239 FR  
5.196.123.240 5.196.123.255 NL  
5.196.124.0 5.196.124.63 FR  
5.196.124.64 5.196.124.127 ES  
5.196.124.128 5.196.125.27 FR  
5.196.125.28 5.196.125.31 PT  
5.196.125.32 5.196.125.63 DE  
5.196.125.64 5.196.126.159 FR  
5.196.126.160 5.196.126.163 GB  
5.196.126.164 5.196.129.79 FR  
5.196.129.80 5.196.129.95 DE  
5.196.129.96 5.196.129.215 FR  
5.196.129.216 5.196.129.223 IT  
5.196.129.224 5.196.130.143 FR  
5.196.130.144 5.196.130.159 NL  
5.196.130.160 5.196.139.223 FR  
5.196.139.224 5.196.139.255 BE  
5.196.140.0 5.196.140.55 FR  
5.196.140.56 5.196.140.59 GB  
5.196.140.60 5.196.143.79 FR  
5.196.143.80 5.196.143.95 BE  
5.196.143.96 5.196.144.151 FR  
5.196.144.152 5.196.144.155 FI  
5.196.144.156 5.196.146.91 FR  
5.196.146.92 5.196.146.95 DE  
5.196.146.96 5.196.148.255 FR  
5.196.149.0 5.196.149.15 ES  
5.196.149.16 5.196.152.111 FR  
5.196.152.112 5.196.152.127 ES  
5.196.152.128 5.196.154.91 FR  
5.196.154.92 5.196.154.95 PL  
5.196.154.96 5.196.160.119 FR  
5.196.160.120 5.196.160.127 PT  
5.196.160.128 5.196.161.55 FR  
5.196.161.56 5.196.161.56 GB  
5.196.161.57 5.196.163.79 FR  
5.196.163.80 5.196.163.95 DE  
5.196.163.96 5.196.163.255 FR  
5.196.164.0 5.196.164.255 ES  
5.196.165.0 5.196.170.63 FR  
5.196.170.64 5.196.170.95 ES  
5.196.170.96 5.196.173.175 FR  
5.196.173.176 5.196.173.191 DE  
5.196.173.192 5.196.176.127 FR  
5.196.176.128 5.196.176.131 ES  
5.196.176.132 5.196.177.63 FR  
5.196.177.64 5.196.177.95 ES  
5.196.177.96 5.196.179.63 FR  
5.196.179.64 5.196.179.127 ES  
5.196.179.128 5.196.183.31 FR  
5.196.183.32 5.196.183.47 ES  
5.196.183.48 5.196.183.183 FR  
5.196.183.184 5.196.183.187 LU  
5.196.183.188 5.196.183.191 PT  
5.196.183.192 5.196.183.255 FR  
5.196.184.0 5.196.184.3 NL  
5.196.184.4 5.196.184.7 FR  
5.196.184.8 5.196.184.15 IT  
5.196.184.16 5.196.184.19 NL  
5.196.184.20 5.196.186.107 FR  
5.196.186.108 5.196.186.111 NL  
5.196.186.112 5.196.186.115 CZ  
5.196.186.116 5.196.186.119 BE  
5.196.186.120 5.196.186.239 FR  
5.196.186.240 5.196.186.255 DE  
5.196.187.0 5.196.187.3 PT  
5.196.187.4 5.196.187.159 FR  
5.196.187.160 5.196.187.191 PT  
5.196.187.192 5.196.187.239 FR  
5.196.187.240 5.196.187.247 CZ  
5.196.187.248 5.196.188.255 FR  
5.196.189.0 5.196.189.3 NL  
5.196.189.4 5.196.190.63 FR  
5.196.190.64 5.196.190.127 NL  
5.196.190.128 5.196.192.67 FR  
5.196.192.68 5.196.192.71 BE  
5.196.192.72 5.196.199.119 FR  
5.196.199.120 5.196.199.127 CZ  
5.196.199.128 5.196.202.63 FR  
5.196.202.64 5.196.202.67 LT  
5.196.202.68 5.196.203.195 FR  
5.196.203.196 5.196.203.199 ES  
5.196.203.200 5.196.203.207 BE  
5.196.203.208 5.196.203.223 DE  
5.196.203.224 5.196.204.159 FR  
5.196.204.160 5.196.204.191 ES  
5.196.204.192 5.196.205.155 FR  
5.196.205.156 5.196.205.159 DE  
5.196.205.160 5.196.206.15 FR  
5.196.206.16 5.196.206.31 DE  
5.196.206.32 5.196.210.239 FR  
5.196.210.240 5.196.210.255 NL  
5.196.211.0 5.196.211.255 FR  
5.196.212.0 5.196.212.3 NL  
5.196.212.4 5.196.212.7 FR  
5.196.212.8 5.196.212.15 NL  
5.196.212.16 5.196.215.255 FR  
5.196.216.0 5.196.216.63 GB  
5.196.216.64 5.196.222.175 FR  
5.196.222.176 5.196.222.191 ES  
5.196.222.192 5.196.238.255 FR  
5.196.239.0 5.196.239.63 ES  
5.196.239.64 5.196.240.175 FR  
5.196.240.176 5.196.240.191 DE  
5.196.240.192 5.196.243.239 FR  
5.196.243.240 5.196.243.255 DE  
5.196.244.0 5.196.244.87 FR  
5.196.244.88 5.196.244.88 ES  
5.196.244.89 5.196.244.115 FR  
5.196.244.116 5.196.244.116 ES  
5.196.244.117 5.196.247.103 FR  
5.196.247.104 5.196.247.111 ES  
5.196.247.112 5.196.248.83 FR  
5.196.248.84 5.196.248.87 IT  
5.196.248.88 5.196.255.255 FR  
5.197.0.0 5.197.255.255 AZ  
5.198.0.0 5.198.127.255 GB  
5.198.128.0 5.198.135.255 CZ  
5.198.136.0 5.198.143.255 GB  
5.198.144.0 5.198.159.255 AT  
5.198.160.0 5.198.191.255 IR  
5.198.192.0 5.198.223.255 FR  
5.198.224.0 5.198.239.255 IT  
5.198.240.0 5.198.247.255 JO  
5.198.248.0 5.199.127.255 GB  
5.199.128.0 5.199.143.255 DE  
5.199.144.0 5.199.159.255 NL  
5.199.160.0 5.199.175.255 LT  
5.199.176.0 5.199.183.255 DE  
5.199.192.0 5.199.223.255 RU  
5.199.224.0 5.199.231.255 ES  
5.199.232.0 5.199.239.255 UA  
5.199.240.0 5.199.255.255 DE  
5.200.0.0 5.200.31.255 NL  
5.200.32.0 5.200.63.255 RU  
5.200.64.0 5.200.255.255 IR  
5.201.0.0 5.201.127.255 PL  
5.201.128.0 5.202.255.255 IR  
5.203.0.0 5.203.255.255 GR  
5.204.0.0 5.204.255.255 HU  
5.205.0.0 5.205.255.255 ES  
5.206.0.0 5.206.127.255 RU  
5.206.128.0 5.206.191.255 HU  
5.206.192.0 5.206.199.255 DK  
5.206.200.0 5.206.207.255 AT  
5.206.208.0 5.206.223.255 NL  
5.206.224.0 5.206.231.255 PT  
5.206.232.0 5.206.236.255 RS  
5.206.237.0 5.206.237.255 XK  
5.206.238.0 5.206.238.255 RS  
5.206.239.0 5.206.239.255 XK  
5.206.240.0 5.206.255.255 PL  
5.207.0.0 5.207.255.255 UA  
5.208.0.0 5.223.255.255 IR  
5.224.0.0 5.225.255.255 ES  
5.226.0.0 5.226.15.255 FR  
5.226.16.0 5.226.31.255 ES  
5.226.32.0 5.226.39.255 SE  
5.226.40.0 5.226.47.255 NL  
5.226.48.0 5.226.55.255 IR  
5.226.56.0 5.226.63.255 GB  
5.226.64.0 5.226.135.255 PL  
5.226.136.0 5.226.143.255 GB  
5.226.144.0 5.226.151.255 CH  
5.226.152.0 5.226.159.255 RU  
5.226.160.0 5.226.167.255 NO  
5.226.168.0 5.226.168.255 ES  
5.226.169.0 5.226.169.255 US  
5.226.170.0 5.226.171.255 DE  
5.226.172.0 5.226.172.255 ES  
5.226.173.0 5.226.173.255 US  
5.226.174.0 5.226.175.255 DE  
5.226.176.0 5.226.183.255 GB  
5.226.184.0 5.226.191.255 ES  
5.226.192.0 5.226.255.255 TR  
5.227.0.0 5.228.255.255 RU  
5.229.0.0 5.229.255.255 TR  
5.230.0.0 5.230.0.255 DE  
5.230.1.0 5.230.1.63 US  
5.230.1.64 5.230.4.255 DE  
5.230.5.0 5.230.5.159 US  
5.230.5.160 5.230.7.255 DE  
5.230.8.0 5.230.9.255 FR  
5.230.10.0 5.230.128.255 DE  
5.230.129.0 5.230.129.39 US  
5.230.129.40 5.230.129.47 DE  
5.230.129.48 5.230.129.255 US  
5.230.130.0 5.230.131.255 DE  
5.230.132.0 5.230.132.23 US  
5.230.132.24 5.230.132.255 DE  
5.230.133.0 5.230.133.255 GB  
5.230.134.0 5.230.149.255 DE  
5.230.150.0 5.230.151.255 FR  
5.230.152.0 5.230.152.255 DE  
5.230.153.0 5.230.153.255 GB  
5.230.154.0 5.230.156.255 DE  
5.230.157.0 5.230.159.255 GB  
5.230.160.0 5.230.165.255 DE  
5.230.166.0 5.230.166.15 SG  
5.230.166.16 5.230.255.255 DE  
5.231.0.0 5.231.1.15 GB  
5.231.1.16 5.231.1.127 DE  
5.231.1.128 5.231.1.255 US  
5.231.2.0 5.231.3.255 DE  
5.231.4.0 5.231.4.15 FI  
5.231.4.16 5.231.4.127 DE  
5.231.4.128 5.231.4.255 US  
5.231.5.0 5.231.5.127 DE  
5.231.5.128 5.231.5.255 US  
5.231.6.0 5.231.6.127 DE  
5.231.6.128 5.231.6.255 US  
5.231.7.0 5.231.7.255 DE  
5.231.8.0 5.231.8.255 GB  
5.231.9.0 5.231.9.15 HR  
5.231.9.16 5.231.9.255 CA  
5.231.10.0 5.231.10.255 PL  
5.231.11.0 5.231.11.255 DE  
5.231.12.0 5.231.12.15 ES  
5.231.12.16 5.231.12.127 DE  
5.231.12.128 5.231.12.255 US  
5.231.13.0 5.231.13.15 GB  
5.231.13.16 5.231.13.127 DE  
5.231.13.128 5.231.14.255 US  
5.231.15.0 5.231.15.15 SE  
5.231.15.16 5.231.15.127 DE  
5.231.15.128 5.231.15.255 US  
5.231.16.0 5.231.17.255 GB  
5.231.18.0 5.231.18.15 IE  
5.231.18.16 5.231.19.127 DE  
5.231.19.128 5.231.19.255 US  
5.231.20.0 5.231.20.127 DE  
5.231.20.128 5.231.20.255 US  
5.231.21.0 5.231.21.127 DE  
5.231.21.128 5.231.21.255 US  
5.231.22.0 5.231.22.255 DE  
5.231.23.0 5.231.23.111 US  
5.231.23.112 5.231.23.127 DE  
5.231.23.128 5.231.23.255 US  
5.231.24.0 5.231.24.255 DE  
5.231.25.0 5.231.25.255 GB  
5.231.26.0 5.231.26.127 DE  
5.231.26.128 5.231.26.255 US  
5.231.27.0 5.231.27.15 GB  
5.231.27.16 5.231.27.127 DE  
5.231.27.128 5.231.27.255 US  
5.231.28.0 5.231.28.255 DE  
5.231.29.0 5.231.29.255 ES  
5.231.30.0 5.231.32.255 DE  
5.231.33.0 5.231.33.255 IT  
5.231.34.0 5.231.73.255 DE  
5.231.74.0 5.231.74.7 AT  
5.231.74.8 5.231.75.15 DE  
5.231.75.16 5.231.75.127 US  
5.231.75.128 5.231.75.255 DE  
5.231.76.0 5.231.76.7 BE  
5.231.76.8 5.231.76.255 DE  
5.231.77.0 5.231.77.7 HR  
5.231.77.8 5.231.77.255 DE  
5.231.78.0 5.231.78.255 GB  
5.231.79.0 5.231.79.255 NL  
5.231.80.0 5.231.95.255 DE  
5.231.96.0 5.231.97.255 GB  
5.231.98.0 5.231.109.255 DE  
5.231.110.0 5.231.111.255 GB  
5.231.112.0 5.231.236.255 DE  
5.231.237.0 5.231.237.255 GB  
5.231.238.0 5.231.255.255 DE  
5.232.0.0 5.239.255.255 IR  
5.240.0.0 5.243.255.255 SE  
5.244.0.0 5.247.255.255 SA  
5.248.0.0 5.248.255.255 UA  
5.249.0.0 5.249.127.255 PT  
5.249.128.0 5.249.159.255 IT  
5.249.160.0 5.249.161.255 SE  
5.249.162.0 5.249.162.255 GB  
5.249.163.0 5.249.163.255 NL  
5.249.164.0 5.249.164.255 DE  
5.249.165.0 5.249.165.255 FR  
5.249.166.0 5.249.167.255 SE  
5.249.168.0 5.249.175.255 CH  
5.249.176.0 5.249.191.255 SI  
5.249.192.0 5.249.223.255 RU  
5.249.224.0 5.249.255.255 NO  
5.250.0.0 5.250.127.255 IR  
5.250.128.0 5.250.159.255 KZ  
5.250.160.0 5.250.167.255 FI  
5.250.168.0 5.250.175.255 RU  
5.250.176.0 5.250.191.255 GB  
5.250.192.0 5.250.223.255 AZ  
5.250.224.0 5.250.231.255 SE  
5.250.232.0 5.250.239.255 RU  
5.250.240.0 5.250.255.255 TR  
5.251.0.0 5.251.255.255 KZ  
5.254.0.0 5.254.64.255 RO  
5.254.65.0 5.254.65.11 TR  
5.254.65.12 5.254.65.12 RO  
5.254.65.13 5.254.65.174 TR  
5.254.65.175 5.254.65.175 RO  
5.254.65.176 5.254.65.255 TR  
5.254.66.0 5.254.88.247 RO  
5.254.88.248 5.254.88.248 DE  
5.254.88.249 5.254.88.255 RO  
5.254.89.0 5.254.89.255 DE  
5.254.90.0 5.254.105.151 RO  
5.254.105.152 5.254.105.159 EG  
5.254.105.160 5.254.106.191 RO  
5.254.106.192 5.254.106.255 GB  
5.254.107.0 5.254.107.127 RO  
5.254.107.128 5.254.107.255 GB  
5.254.108.0 5.254.108.63 US  
5.254.108.64 5.254.108.255 RO  
5.254.109.0 5.254.109.255 US  
5.254.110.0 5.254.111.255 RO  
5.254.112.0 5.254.112.255 GB  
5.254.113.0 5.254.114.191 RO  
5.254.114.192 5.254.114.255 US  
5.254.115.0 5.254.127.63 RO  
5.254.127.64 5.254.127.127 US  
5.254.127.128 5.254.127.255 RO  
5.254.128.0 5.254.159.255 SE  
5.254.160.0 5.254.167.255 GB  
5.254.168.0 5.254.175.255 DK  
5.254.176.0 5.254.183.255 RU  
5.254.184.0 5.254.191.255 AT  
5.254.192.0 5.254.223.255 SE  
5.254.224.0 5.254.255.255 RU  
5.255.0.0 5.255.3.255 TR  
5.255.4.0 5.255.63.255 US  
5.255.64.0 5.255.127.255 NL  
5.255.128.0 5.255.135.255 BE  
5.255.136.0 5.255.143.255 GB  
5.255.144.0 5.255.151.255 ES  
5.255.152.0 5.255.159.255 NL  
5.255.160.0 5.255.191.255 UA  
5.255.192.0 5.255.194.255 RU  
5.255.195.0 5.255.195.31 TR  
5.255.195.32 5.255.249.255 RU  
5.255.250.0 5.255.250.255 US  
5.255.251.0 5.255.251.127 DE  
5.255.251.128 5.255.251.255 TR  
5.255.252.0 5.255.255.255 RU  
